repeat_id,sampler_mode,session_id,shots,shots_per_basis,chsh,abs_chsh,qber,security_status,key_status,key_subset_size,bell_subset_size,sifted_key_length,correlations,error_message
1,classical_singlet_sampler,f862ff03-12d4-4a8a-b97a-0f7ace663b4a,10000,,-2.869,2.869,0.0,secure,generated,2222,4539,2222,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.735, ""samples"": 1102}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7339, ""samples"": 1150}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.7103, ""samples"": 1146}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.6897, ""samples"": 1141}}",
1,qiskit,,,2500,2.8392,2.8392,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1111, ""01"": 170, ""10"": 170, ""11"": 1049}, ""expectation"": 0.728, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1092, ""01"": 166, ""10"": 198, ""11"": 1044}, ""expectation"": 0.7088, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 170, ""01"": 1072, ""10"": 1066, ""11"": 192}, ""expectation"": -0.7104, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1046, ""01"": 213, ""10"": 172, ""11"": 1069}, ""expectation"": 0.692, ""shots"": 2500}}",
2,classical_singlet_sampler,fed15ccf-419a-47b9-a741-c010774a6225,10000,,-2.8465,2.8465,0.0,secure,generated,2226,4477,2226,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7033, ""samples"": 1119}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.6896, ""samples"": 1134}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.7205, ""samples"": 1145}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7331, ""samples"": 1079}}",
2,qiskit,,,2500,2.8152,2.8152,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1060, ""01"": 184, ""10"": 180, ""11"": 1076}, ""expectation"": 0.7088, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1056, ""01"": 190, ""10"": 173, ""11"": 1081}, ""expectation"": 0.7096, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 190, ""01"": 1041, ""10"": 1059, ""11"": 210}, ""expectation"": -0.68, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1091, ""01"": 169, ""10"": 185, ""11"": 1055}, ""expectation"": 0.7168, ""shots"": 2500}}",
3,classical_singlet_sampler,82039bba-2c5b-4717-a002-e2cae62ff150,10000,,-2.818,2.818,0.0,secure,generated,2142,4428,2142,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7122, ""samples"": 1084}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7193, ""samples"": 1133}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.6621, ""samples"": 1101}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7243, ""samples"": 1110}}",
3,qiskit,,,2500,2.8792,2.8792,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1059, ""01"": 197, ""10"": 163, ""11"": 1081}, ""expectation"": 0.712, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1060, ""01"": 184, ""10"": 176, ""11"": 1080}, ""expectation"": 0.712, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 172, ""01"": 1070, ""10"": 1090, ""11"": 168}, ""expectation"": -0.728, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1092, ""01"": 173, ""10"": 168, ""11"": 1067}, ""expectation"": 0.7272, ""shots"": 2500}}",
4,classical_singlet_sampler,db094d99-f449-4607-9ed1-bd470dbc68c6,10000,,-2.8649,2.8649,0.0,secure,generated,2191,4437,2191,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7135, ""samples"": 1138}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7262, ""samples"": 1103}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.6742, ""samples"": 1056}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7509, ""samples"": 1140}}",
4,qiskit,,,2500,2.8248,2.8248,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1046, ""01"": 177, ""10"": 187, ""11"": 1090}, ""expectation"": 0.7088, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1050, ""01"": 163, ""10"": 194, ""11"": 1093}, ""expectation"": 0.7144, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 160, ""01"": 1071, ""10"": 1076, ""11"": 193}, ""expectation"": -0.7176, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1044, ""01"": 195, ""10"": 200, ""11"": 1061}, ""expectation"": 0.684, ""shots"": 2500}}",
5,classical_singlet_sampler,a3e064e6-c84b-4f26-bf96-bfa3df0e6d08,10000,,-2.8058,2.8058,0.0,secure,generated,2329,4340,2329,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7036, ""samples"": 1066}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.6703, ""samples"": 1086}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.6899, ""samples"": 1103}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7419, ""samples"": 1085}}",
5,qiskit,,,2500,2.8152,2.8152,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1095, ""01"": 166, ""10"": 191, ""11"": 1048}, ""expectation"": 0.7144, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1083, ""01"": 194, ""10"": 171, ""11"": 1052}, ""expectation"": 0.708, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 205, ""01"": 1057, ""10"": 1066, ""11"": 172}, ""expectation"": -0.6984, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1032, ""01"": 199, ""10"": 183, ""11"": 1086}, ""expectation"": 0.6944, ""shots"": 2500}}",
6,classical_singlet_sampler,b90be798-537d-437f-a691-660732412b8e,10000,,-2.8664,2.8664,0.0,secure,generated,2155,4492,2155,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7291, ""samples"": 1137}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7246, ""samples"": 1133}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.6844, ""samples"": 1052}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7282, ""samples"": 1170}}",
6,qiskit,,,2500,2.8464,2.8464,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1048, ""01"": 182, ""10"": 180, ""11"": 1090}, ""expectation"": 0.7104, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1095, ""01"": 172, ""10"": 183, ""11"": 1050}, ""expectation"": 0.716, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 186, ""01"": 1065, ""10"": 1074, ""11"": 175}, ""expectation"": -0.7112, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1032, ""01"": 175, ""10"": 189, ""11"": 1104}, ""expectation"": 0.7088, ""shots"": 2500}}",
7,classical_singlet_sampler,8f31a574-56d9-4700-9fab-70506bbedc18,10000,,-2.8106,2.8106,0.0,secure,generated,2273,4480,2273,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.6969, ""samples"": 1069}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7021, ""samples"": 1101}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.7135, ""samples"": 1131}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.698, ""samples"": 1179}}",
7,qiskit,,,2500,2.8488,2.8488,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1082, ""01"": 185, ""10"": 181, ""11"": 1052}, ""expectation"": 0.7072, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1070, ""01"": 182, ""10"": 178, ""11"": 1070}, ""expectation"": 0.712, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 192, ""01"": 1066, ""10"": 1069, ""11"": 173}, ""expectation"": -0.708, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1094, ""01"": 163, ""10"": 185, ""11"": 1058}, ""expectation"": 0.7216, ""shots"": 2500}}",
8,classical_singlet_sampler,5938b5f4-e83d-47e7-b013-b9431ebc2f06,10000,,-2.8066,2.8066,0.0,secure,generated,2221,4381,2221,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7191, ""samples"": 1068}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.6954, ""samples"": 1149}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.685, ""samples"": 1092}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7071, ""samples"": 1072}}",
8,qiskit,,,2500,2.8056,2.8056,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1074, ""01"": 183, ""10"": 190, ""11"": 1053}, ""expectation"": 0.7016, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1083, ""01"": 184, ""10"": 165, ""11"": 1068}, ""expectation"": 0.7208, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 199, ""01"": 1018, ""10"": 1077, ""11"": 206}, ""expectation"": -0.676, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1065, ""01"": 184, ""10"": 182, ""11"": 1069}, ""expectation"": 0.7072, ""shots"": 2500}}",
9,classical_singlet_sampler,50267541-008f-4428-b035-47d2dc930b27,10000,,-2.7534,2.7534,0.0,secure,generated,2245,4358,2245,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7062, ""samples"": 1062}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7001, ""samples"": 1127}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.676, ""samples"": 1105}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.6711, ""samples"": 1064}}",
9,qiskit,,,2500,2.8064,2.8064,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1108, ""01"": 181, ""10"": 178, ""11"": 1033}, ""expectation"": 0.7128, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1034, ""01"": 196, ""10"": 183, ""11"": 1087}, ""expectation"": 0.6968, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 174, ""01"": 1045, ""10"": 1076, ""11"": 205}, ""expectation"": -0.6968, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1080, ""01"": 201, ""10"": 174, ""11"": 1045}, ""expectation"": 0.7, ""shots"": 2500}}",
10,classical_singlet_sampler,38f97a8b-2071-44ce-bab2-d8230d413929,10000,,-2.8184,2.8184,0.0,secure,generated,2242,4498,2242,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.6998, ""samples"": 1126}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.6944, ""samples"": 1093}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.7099, ""samples"": 1110}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7143, ""samples"": 1169}}",
10,qiskit,,,2500,2.8648,2.8648,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1087, ""01"": 171, ""10"": 192, ""11"": 1050}, ""expectation"": 0.7096, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1035, ""01"": 171, ""10"": 175, ""11"": 1119}, ""expectation"": 0.7232, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 168, ""01"": 1080, ""10"": 1056, ""11"": 196}, ""expectation"": -0.7088, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1074, ""01"": 167, ""10"": 179, ""11"": 1080}, ""expectation"": 0.7232, ""shots"": 2500}}",
